size (nm),600 K,400 K,300 K
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,0.00512216,,
25,0.02048865,,
26,0.04609947,,
27,0.06658813,,0.0025107
28,0.09219894,,0.02761772
29,0.12805409,,0.05021404
30,0.1690314,,0.10042807
31,0.2253752,0.00111044,0.25107018
32,0.30732982,0.00222089,0.35149825
33,0.46099472,0.00444178,0.50214036
34,0.61465963,0.00777311,0.67788948
35,0.76832454,0.01110445,0.87874562
36,0.92198945,0.01887756,1.25535089
37,1.07565436,0.03331335,1.63195616
38,1.17809763,0.05552224,1.95834739
39,1.2805409,0.09994004,2.23452458
40,1.38298417,0.16656673,2.46048774
41,1.43420581,0.33313345,2.66134389
42,1.48542744,0.55522242,2.83709301
43,1.53664908,0.82172918,2.9626281
44,1.57250423,1.22148933,3.06305617
45,1.61348153,1.71008506,3.11327021
46,1.63909235,2.29862083,3.13837722
47,1.65958101,2.97599218,3.14842003
48,1.68006966,3.48679681,3.15595214
49,1.69543615,3.99760144,3.16097354
50,1.70568048,4.27521265,3.16348424
51,1.71192481,4.41957048,3.14339863
52,1.71504697,4.49730162,3.13335582
53,1.71604697,4.51951052,3.12080231
54,1.71592481,4.50840607,3.1007167
55,1.71080264,4.48619717,3.07560968
56,1.70568048,4.44177938,3.03794915
57,1.70055832,4.37515269,2.99643249
58,1.69031399,4.308526,2.91620397
59,1.68006966,4.16416817,2.83597546
60,1.6749475,4.03091478,2.71155792
61,1.66470317,3.88655695,2.5358088
62,1.65958101,3.68667688,2.33495265
63,1.65045884,3.42239101,2.14765762
64,1.63909235,3.16476781,1.89045311
65,1.62372586,2.81497768,1.62954486
66,1.61348153,2.36524752,1.45620703
67,1.59811504,1.99880072,1.28602253
68,1.58787072,1.55462278,1.19600095
69,1.57250423,1.27701157,1.13169982
70,1.55713773,0.98829591,1.09311915
71,1.53664908,0.85504253,1.04890364
72,1.51616043,0.76620694,1.01816178
73,1.49567177,0.6884758,0.98019454
74,1.47006095,0.62184911,0.95406668
75,1.44445014,0.58853577,0.92895966
76,1.41883932,0.55522242,0.89632053
77,1.3932285,0.52190908,0.86117071
78,1.36249552,0.48859573,0.82853159
79,1.33176254,0.47749128,0.77831755
80,1.30102955,0.44417794,0.7029965
81,1.26517441,0.42196904,0.57746141
82,1.22931926,0.39976014,0.4268193
83,1.19346412,0.37755125,0.25720451
84,1.15760897,0.35534235,0.11574203
85,1.1115095,0.322029,0.0514409
86,1.07565436,0.29982011,0.01286033
87,1.02955488,0.26650676,
88,0.9988219,0.22208897,
89,0.95272243,0.16656673,
90,0.90662296,0.08883559,
91,0.85540132,0.04441779,
92,0.79393536,0.0222089,
93,0.75295805,0.01110445,
94,0.70685858,0.00555222,
95,0.6761256,0.00111044,
96,0.65051478,,
97,0.62490396,,
98,0.59929314,,
99,0.57880449,,
100,0.55831583,,
101,0.54294934,,
102,0.52758285,,
103,0.51221636,,
104,0.50197203,,
105,0.49172771,,
106,0.47636121,,
107,0.46099472,,
108,0.4507504,,
109,0.43538391,,
110,0.42501742,,
111,0.41777309,,
112,0.40552876,,
113,0.3944066,,
114,0.38928443,,
115,0.37904011,,
116,0.36879578,,
117,0.35855145,,
118,0.34318496,,
119,0.32781847,,
120,0.30732982,,
121,0.28684116,,
122,0.26635251,,
123,0.24586385,,
124,0.22025303,,
125,0.19464222,,
126,0.15366491,,
127,0.10244327,,
128,0.04609947,,
129,0.02048865,,
130,0.00512216,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
