Frequency (cm-1),nr(112 K),ni(112 K),nr(90 K),ni(90 K),Wavelength (um)
0,1.274,0E+00,1.293,5.302E-05,
140,1.273,1.353E-03,1.291,1.442E-03,71.43
240,1.272,6.234E-04,1.290,6.645E-04,41.67
1210,1.311,1.001E-02,1.331,1.067E-02,8.26
1230,1.305,2.002E-02,1.325,2.135E-02,8.13
1282.5,1.342,7.499E-02,1.365,7.994E-02,7.8
1300,1.258,1.600E-01,1.275,1.706E-01,7.69
1317.5,1.183,7.249E-02,1.195,7.728E-02,7.59
2800,1.284,1E-02,1.303,1.066E-02,3.57
2915,1.281,2E-02,1.300,2.132E-02,3.43
2970,1.291,4E-02,1.310,4.264E-02,3.37
3000,1.261,7.000E-02,1.278,7.462E-02,3.33
3040,1.227,3E-02,1.242,3.198E-02,3.29
5120,1.267,8.393E-07,1.285,8.947E-07,1.953
5175,1.267,1.476E-06,1.285,1.574E-06,1.932
8055,1.268,7.903E-08,1.286,8.425E-08,1.241
8095,1.268,1.573E-07,1.286,1.677E-07,1.235
9865,1.269,9.438E-07,1.287,1.006E-06,1.014
10000,1.269,7.799E-07,1.287,8.313E-07,1
10130,1.269,5.892E-07,1.287,6.281E-07,0.9872
10265,1.269,4.651E-07,1.287,4.958E-07,0.9742
11255,1.27,1.782E-06,1.288,1.899E-06,0.8885
11530,1.27,3.106E-07,1.288,3.311E-07,0.8673
11880,1.27,4.689E-08,1.288,4.998E-08,0.8418
12510,1.27,5.725E-08,1.288,6.103E-08,0.7994
12740,1.271,3.748E-08,1.289,3.995E-08,0.7849
13700,1.271,9.294E-08,1.289,9.907E-08,0.7299
13940,1.271,1.085E-07,1.289,1.156E-07,0.7174
14170,1.271,7.862E-09,1.289,8.381E-09,0.7057
14585,1.272,2.510E-09,1.29,2.675E-09,0.6856
14935,1.272,4.476E-09,1.29,4.771E-09,0.6696
16090,1.273,1.830E-07,1.291,1.951E-07,0.6215
16715,1.278,1.095E-09,1.291,1.167E-09,0.5983
17150,1.278,1.160E-09,1.291,1.237E-09,0.5831
25000,1.281,0E+00,1.299,0E+00,0.4
74773,1.660,1.702E-01,1.703,1.814E-01,0.1337
83333,1.456,3.128E-01,1.486,3.336E-01,0.12
86051,1.442,3.024E-01,1.471,3.225E-01,0.1162
91991.2,1.476,3.527E-01,1.508,3.761E-01,0.1087
98809,1.417,4.472E-01,1.445,4.768E-01,0.1012
100000,1.420,4.551E-01,1.448,4.853E-01,0.1
111111,1.196,6.096E-01,1.209,6.501E-01,0.09
183333.5,0.865,2.004E-01,0.856,2.137E-01,0.0545
