Applied Optics
Vol. 23, Issue 4, pp. 541-547 (1984) 
https://doi.org/10.1364/AO.23.000541
Optical properties of NH3 ice from the far infrared to the near ultraviolet
John V. Martonchik, Glenn S. Orton, and John F. Appleby
Table I
Optical Constants for Solid Ammonia
cm−1	nr	ni
50.0	1.829	1.592E-02
60.0	1.853	1.857E-02
70.0	1.942	3.410E-02
73.0	1.976	1.403E-01
76.0	1.935	2.464E-01
79.0	1.775	3.526E-01
80.0	1.709	2.785E-01
83.3	1.653	1.886E-01
86.7	1.635	9.874E-02
90.0	1.676	8.842E-03
100.0	1.773	7.958E-03
110.0	1.819	1.157E-02
120.0	1.867	2.984E-02
123.3	1.888	4.438E-02
126.7	1.911	5.892E-02
130.0	1.968	7.346E-02
133.0	2.001	1.921E-01
136.0	1.956	3.107E-01
139.0	1.800	4.294E-01
140.0	1.721	3.922E-01
143.3	1.612	2.756E-01
146.7	1.581	1.590E-01
150.0	1.628	4.244E-02
160.0	1.739	3.979E-02
170.0	1.783	4.213E-02
173.3	1.794	5.609E-02
176.7	1.796	7.004E-02
180.0	1.783	8.400E-02
183.3	1.770	6.856E-02
186.7	1.771	5.313E-02
190.0	1.783	3.769E-02
200.0	1.816	3.979E-02
210.0	1.838	4.168E-02
220.0	1.862	4.341E-02
230.0	1.889	4.844E-02
240.0	1.918	5.968E-02
243.3	1.927	6.525E-02
246.7	1.935	7.082E-02
250.0	1.945	7.639E-02
252.3	1.951	8.602E-02
254.7	1.951	9.565E-02
257.0	1.941	1.053E-01
258.0	1.934	9.875E-02
259.0	1.933	9.223E-02
260.0	1.935	8.570E-02
270.0	1.979	5.010E-02
280.0	2.052	4.547E-02
290.0	2.138	5.488E-02
300.0	2.242	7.958E-02
310.0	2.385	1.155E-01
320.0	2.580	2.114E-01
330.0	2.818	4.099E-01
340.0	3.107	7.724E-01
343.3	3.207	1.045E+00
346.7	3.226	1.318E+00
350.0	3.240	1.592E+00
353.3	3.177	2.019E+00
356.7	2.950	2.446E+00
360.0	2.516	2.874E+00
361.0	2.331	2.939E+00
362.0	2.149	3.004E+00
363.0	1.917	3.069E+00
365.3	1.477	2.906E+00
367.7	1.190	2.744E+00
370.0	0.958	2.581E+00
373.3	0.703	2.321E+00
376.7	0.529	2.061E+00
380.0	0.431	1.801E+00
383.3	0.377	1.602E+00
386.7	0.339	1.403E+00
390.0	0.353	1.204E+00
393.3	0.385	1.088E+00
396.7	0.398	9.716E-01
400.0	0.425	8.555E-01
410.0	0.520	6.017E-01
420.0	0.629	4.358E-01
430.0	0.715	3.331E-01
440.0	0.803	2.170E-01
450.0	0.900	1.662E-01
460.0	0.976	1.332E-01
470.0	1.036	1.185E-01
480.0	1.083	1.028E-01
490.0	1.127	9.095E-02
500.0	1.172	8.276E-02
510.0	1.227	8.270E-02
513.3	1.248	9.849E-02
516.7	1.262	1.143E-01
520.0	1.276	1.301E-01
523.3	1.284	1.618E-01
526.7	1.277	1.935E-01
530.0	1.254	2.252E-01
540.0	1.164	1.916E-01
560.0	1.170	1.023E-01
580.0	1.204	6.860E-02
600.0	1.229	4.642E-02
620.0	1.257	2.567E-02
640.0	1.286	1.741E-02
660.0	1.310	1.567E-02
680.0	1.325	1.755E-02
700.0	1.337	1.478E-02
720.0	1.350	1.216E-02
740.0	1.361	8.603E-03
760.0	1.375	7.330E-03
780.0	1.387	9.182E-03
